Structure [idcode]	Molecule Name	Total Molweight	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Polar Surface Area	Mutagenic	Tumorigenic	Irritant	Non-H Atoms	Stereo Centers	Rotatable Bonds	Smiles	InChI	InChI-Key	
ehrtCD@LDhDKBaibZVU]SP@bWprRPqQIIQQFEIJJEIQZIIXjSIHrIzEDegeZhJBjJjfBBbjjfjhJhdcdNWtQ`@	2i4x	728.794	2.8511	-5.343	14	2	534.37	186.58	none	none	none	49	5	19	CCOP(COc1ccc(C[C@@H]([C@@H](CN(CC(C)C)S(c(cc2)ccc2OC)(=O)=O)O)NC(O[C@@H]2[C@H](CCO3)[C@H]3OC2)=O)cc1)(OCC)=O	InChI=1S/C33H49N2O12PS/c1-6-45-48(38,46-7-2)22-44-26-10-8-24(9-11-26)18-29(34-33(37)47-31-21-43-32-28(31)16-17-42-32)30(36)20-35(19-23(3)4)49(39,40)27-14-12-25(41-5)13-15-27/h8-15,23,28-32,36H,6-7,16-22H2,1-5H3,(H,34,37)/t28-,29-,30+,31-,32-/m0/s1	FCLYPCIMVVLLRN-LUKCZKMGSA-N	
fbmiBDAV|gK@A@irQZJHiQQIY\D{tTuUUTa@UFLHdD`@	1y6q	294.402	-2.197	-1.969	6	4	230.45	117.56	none	none	none	20	3	4	CSC[C@@H](C[N@@H+](Cc1c[nH]c2c(N)ncnc12)C1)[C@H]1O	InChI=1S/C13H19N5OS/c1-20-6-9-4-18(5-10(9)19)3-8-2-15-12-11(8)16-7-17-13(12)14/h2,7,9-10,15,19H,3-6H2,1H3,(H2,14,16,17)/p+1/t9-,10+/m1/s1	NTHMDFGHOCNNOE-ZJUUUORDSA-O	
ekPtCDDLDhDKBaibZVU]SP@bWpuxwlddLTRRTTQaRRbaRTVbRVJdLb^aQIYyVjB`jbji``hjjihJhdcdNWtQ`@	2i4d	670.671	-3.3361	-3.633	14	2	477.39	214.24	none	none	none	45	5	15	CC(C)CN(C[C@H]([C@H](Cc(cc1)ccc1OCP([O-])([O-])=O)NC(O[C@@H]1[C@H](CCO2)[C@H]2OC1)=O)O)S(c(cc1)ccc1OC)(=O)=O	InChI=1S/C29H41N2O12PS/c1-19(2)15-31(45(37,38)23-10-8-21(39-3)9-11-23)16-26(32)25(14-20-4-6-22(7-5-20)42-18-44(34,35)36)30-29(33)43-27-17-41-28-24(27)12-13-40-28/h4-11,19,24-28,32H,12-18H2,1-3H3,(H,30,33)(H2,34,35,36)/p-2/t24-,25-,26+,27-,28-/m0/s1	VGMTVMSJTCIQMF-KLMIGJKJSA-L	
ehrtCD@LDhDKBaibZVU]SP@bWprRPqQIIQQFEIJJEIQZIIXjSIHrIzEDegeZhJBjJjfBBbjjfjhJhdcdNWtQ`@	2i4w	728.794	2.8511	-5.343	14	2	534.37	186.58	none	none	none	49	5	19	CCOP(COc1ccc(C[C@@H]([C@@H](CN(CC(C)C)S(c(cc2)ccc2OC)(=O)=O)O)NC(O[C@@H]2[C@H](CCO3)[C@H]3OC2)=O)cc1)(OCC)=O	InChI=1S/C33H49N2O12PS/c1-6-45-48(38,46-7-2)22-44-26-10-8-24(9-11-26)18-29(34-33(37)47-31-21-43-32-28(31)16-17-42-32)30(36)20-35(19-23(3)4)49(39,40)27-14-12-25(41-5)13-15-27/h8-15,23,28-32,36H,6-7,16-22H2,1-5H3,(H,34,37)/t28-,29-,30+,31-,32-/m0/s1	FCLYPCIMVVLLRN-LUKCZKMGSA-N	
enUTAH@LDhDKBaibZP@cIICEDdeEDXTdhhTeEhlcHghTRZVUj`hJhjjXHJJjBjIHyCe}DX@@	2i4u	562.682	2.8443	-3.902	10	2	414.8	132.01	none	none	none	39	5	12	CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(O[C@@H]1[C@H](CCO2)[C@H]2OC1)=O)O)S(c(cc1)ccc1OC)(=O)=O	InChI=1S/C28H38N2O8S/c1-19(2)16-30(39(33,34)22-11-9-21(35-3)10-12-22)17-25(31)24(15-20-7-5-4-6-8-20)29-28(32)38-26-18-37-27-23(26)13-14-36-27/h4-12,19,23-27,31H,13-18H2,1-3H3,(H,29,32)/t23-,24-,25+,26-,27-/m0/s1	BINXAIIXOUQUKC-ZEEZOPKCSA-N	
eisqJ@@DLEKCnPrpCFl_\bbbVbbbbVNfbrbbRRtTLRRbt\VbRbr~QU]{GZjjAjBJj`hJFB`jFj@@@hXRRJdtI`@	1hvj	778.996	3.7988	-5.573	13	5	623.71	168.89	none	none	none	57	5	19	CC(C)[C@@H](C(N[C@H](C[C@@H]([C@H](Cc1ccccc1)NC([C@H](C(C)C)NC(N(C)Cc1ncccc1)=O)=O)O)Cc1ccccc1)=O)NC(N(C)Cc1ncccc1)=O	InChI=1S/C44H58N8O5/c1-30(2)39(49-43(56)51(5)28-34-21-13-15-23-45-34)41(54)47-36(25-32-17-9-7-10-18-32)27-38(53)37(26-33-19-11-8-12-20-33)48-42(55)40(31(3)4)50-44(57)52(6)29-35-22-14-16-24-46-35/h7-24,30-31,36-40,53H,25-29H2,1-6H3,(H,47,54)(H,48,55)(H,49,56)(H,50,57)/t36-,37-,38-,39-,40-/m0/s1	KTXGTJRUYOGULA-HECCNADXSA-N	
ekP|AH@LDhXDKBacl]P@cIICEDdeEDXTdhhXddlcDeeCHodPXQYUj`hJhjjXJBa`@fBLIHyIh@@	2i0a	637.752	3.1718	-5.427	11	2	473.6	150.93	high	none	none	45	3	13	CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC([C@H](CN1c(cc2)ccc2C(C)=O)OC1=O)=O)O)S(c(cc1)ccc1OC)(=O)=O	InChI=1S/C33H39N3O8S/c1-22(2)19-35(45(41,42)28-16-14-27(43-4)15-17-28)20-30(38)29(18-24-8-6-5-7-9-24)34-32(39)31-21-36(33(40)44-31)26-12-10-25(11-13-26)23(3)37/h5-17,22,29-31,38H,18-21H2,1-4H3,(H,34,39)/t29-,30+,31-/m0/s1	BUJKGFQFFGUYEM-YPKYBTACSA-N	
enUTNH@LDhDKNaibP@cIICEDdeEDXTdhhTeEedcHghT\ZVUj`hJhjjXHJJjBjIHyChblX@@	2hb3	560.710	2.9794	-4.444	9	3	416.41	133.78	none	none	none	39	5	12	CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(O[C@H]1C[C@H]2OCC[C@H]2C1)=O)O)S(c1ccc(CO)cc1)(=O)=O	InChI=1S/C29H40N2O7S/c1-20(2)17-31(39(35,36)25-10-8-22(19-32)9-11-25)18-27(33)26(14-21-6-4-3-5-7-21)30-29(34)38-24-15-23-12-13-37-28(23)16-24/h3-11,20,23-24,26-28,32-33H,12-19H2,1-2H3,(H,30,34)/t23-,24-,26+,27-,28+/m1/s1	VYBDPVQMILRSMK-SUUNGRLWSA-N	
egXrJ@@DLMI`EJgd\bbbTVbaLRTTRtVVbfRRttTSD`vqKNmkUUSUUPTEELDD@QD@PPgHdfh@@	2q5k	628.811	4.847	-6.131	9	4	501.42	120	none	none	high	46	4	15	CC(C)[C@@H](C(N[C@H](C[C@@H]([C@H](Cc1ccccc1)NC(COc1c(C)cccc1C)=O)O)Cc1ccccc1)=O)N(CCCN1)C1=O	InChI=1S/C37H48N4O5/c1-25(2)34(41-20-12-19-38-37(41)45)36(44)39-30(21-28-15-7-5-8-16-28)23-32(42)31(22-29-17-9-6-10-18-29)40-33(43)24-46-35-26(3)13-11-14-27(35)4/h5-11,13-18,25,30-32,34,42H,12,19-24H2,1-4H3,(H,38,45)(H,39,44)(H,40,43)/t30-,31-,32-,34-/m0/s1	KJHKTHWMRKYKJE-SUGCFTRWSA-N	
egXzFD@LEGIk^IMJ`\P@axHrQIIQSSZJQJqSQIIZHyQQJKXDG_RzfvuULuUUTpTECU@@@PAABDadZ`@	1hpx	667.850	1.8629	-5.474	11	4	498.14	200.56	none	none	none	46	4	14	CC(C)(C)NC([C@H](CSC1)N1C([C@H]([C@H](Cc1ccccc1)NC([C@H](CSC)NC(COc1cccc2cnccc12)=O)=O)O)=O)=O	InChI=1S/C33H41N5O6S2/c1-33(2,3)37-31(42)26-19-46-20-38(26)32(43)29(40)24(15-21-9-6-5-7-10-21)36-30(41)25(18-45-4)35-28(39)17-44-27-12-8-11-22-16-34-14-13-23(22)27/h5-14,16,24-26,29,40H,15,17-20H2,1-4H3,(H,35,39)(H,36,41)(H,37,42)/t24-,25-,26+,29-/m0/s1	NJBBLOIWMSYVCQ-QNVWVOQGSA-N	
enUTAH@LDhDKBaibZP@cIICEDdeEDXTdhhTeEhlcHghTRZVUj`hJhjjXHJJjBjIHyCe}DX@@	2i4v	562.682	2.8443	-3.902	10	2	414.8	132.01	none	none	none	39	5	12	CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(O[C@@H]1[C@H](CCO2)[C@H]2OC1)=O)O)S(c(cc1)ccc1OC)(=O)=O	InChI=1S/C28H38N2O8S/c1-19(2)16-30(39(33,34)22-11-9-21(35-3)10-12-22)17-25(31)24(15-20-7-5-4-6-8-20)29-28(32)38-26-18-37-27-23(26)13-14-36-27/h4-12,19,23-27,31H,13-18H2,1-3H3,(H,29,32)/t23-,24-,25+,26-,27-/m0/s1	BINXAIIXOUQUKC-ZEEZOPKCSA-N	
eb^ZBBHECHkhVMO@PHcHHFbChbF\bbRbRTvTTtRRbjVbfUGCRwTrNL@QTuLDaTUUM@p@@	1mq6	569.876	4.3398	-6.919	9	3	386.22	135	none	none	none	36	0	7	CN(Cc1csc(C(Nc(c(C(Nc(cc2)ncc2Cl)=O)cc(Cl)c2)c2OC)=O)c1Cl)C1=[NH+]CCO1	InChI=1S/C23H20Cl3N5O4S/c1-31(23-27-5-6-35-23)10-12-11-36-20(18(12)26)22(33)30-19-15(7-14(25)8-16(19)34-2)21(32)29-17-4-3-13(24)9-28-17/h3-4,7-9,11H,5-6,10H2,1-2H3,(H,30,33)(H,28,29,32)/p+1	FBXIHZSULWMHJY-UHFFFAOYSA-O	
ee{qF@@DLEKKaXzpCFibP|bbbVbbbbVNfbtTtRRVbabRTVcbtRTVPNNoh|{UUPMPQUUAPTLEATMT@@@ppddTnhmJX@@	1hvk	794.995	2.777	-5.174	14	6	628.8	189.12	none	none	none	58	6	19	CC(C)[C@@H](C(N[C@@H](Cc1ccccc1)[C@@H]([C@H]([C@H](Cc1ccccc1)NC([C@H](C(C)C)NC(N(C)Cc1ncccc1)=O)=O)O)O)=O)NC(N(C)Cc1ncccc1)=O	InChI=1S/C44H58N8O6/c1-29(2)37(49-43(57)51(5)27-33-21-13-15-23-45-33)41(55)47-35(25-31-17-9-7-10-18-31)39(53)40(54)36(26-32-19-11-8-12-20-32)48-42(56)38(30(3)4)50-44(58)52(6)28-34-22-14-16-24-46-34/h7-24,29-30,35-40,53-54H,25-28H2,1-6H3,(H,47,55)(H,48,56)(H,49,57)(H,50,58)/t35-,36-,37-,38-,39-,40-/m0/s1	QPVWMQXBTCSLCB-UNHORJANSA-N	
ee{qF@@DLEKKaXzpCFibP|bbbVbbbbVNfbtTtRRVbabRTVcbtRTVPNNoh|{UUPMPQUUAPTLEATMT@@@ppddTndmJX@@	1hvi	794.995	2.777	-5.174	14	6	628.8	189.12	none	none	none	58	6	19	CC(C)[C@@H](C(N[C@@H](Cc1ccccc1)[C@H]([C@H]([C@H](Cc1ccccc1)NC([C@H](C(C)C)NC(N(C)Cc1ncccc1)=O)=O)O)O)=O)NC(N(C)Cc1ncccc1)=O	InChI=1S/C44H58N8O6/c1-29(2)37(49-43(57)51(5)27-33-21-13-15-23-45-33)41(55)47-35(25-31-17-9-7-10-18-31)39(53)40(54)36(26-32-19-11-8-12-20-32)48-42(56)38(30(3)4)50-44(58)52(6)28-34-22-14-16-24-46-34/h7-24,29-30,35-40,53-54H,25-28H2,1-6H3,(H,47,55)(H,48,56)(H,49,57)(H,50,58)/t35-,36-,37-,38-,39-,40+/m0/s1	QPVWMQXBTCSLCB-BYAJYZPISA-N	
eaURJD@LDfghDKEfP@`HHrRPqQIIQJFIIIFJFIIQZFQUMPtkUAPUQUUSAPUCBXRQr[P@	2qi5	588.792	3.4416	-4.118	9	3	447.57	165.32	low	high	none	40	3	14	CCCCCN(C[C@H]([C@H](Cc1ccccc1)NC([C@H](C(C)C)NC(C)=O)=O)O)S(c(cc1)cc2c1ncs2)(=O)=O	InChI=1S/C29H40N4O5S2/c1-5-6-10-15-33(40(37,38)23-13-14-24-27(17-23)39-19-30-24)18-26(35)25(16-22-11-8-7-9-12-22)32-29(36)28(20(2)3)31-21(4)34/h7-9,11-14,17,19-20,25-26,28,35H,5-6,10,15-16,18H2,1-4H3,(H,31,34)(H,32,36)/t25-,26+,28-/m0/s1	KSHUKVXBNWNYNR-REUBFRLUSA-N	
edzvJD@JILgn]VAKEfP@atHrQQ[JYQQYQQIIZJFIIQZNKQIZXTMSPtvntsSUUPTECAPUCURuTDPhmHEMh@@	1hxw	720.957	4.7152	-6.066	11	4	561.32	202.26	none	none	none	50	4	18	CC(C)[C@@H](C(N[C@H](C[C@@H]([C@H](Cc1ccccc1)NC(OCc1cncs1)=O)O)Cc1ccccc1)=O)NC(N(C)Cc1csc(C(C)C)n1)=O	InChI=1S/C37H48N6O5S2/c1-24(2)33(42-36(46)43(5)20-29-22-49-35(40-29)25(3)4)34(45)39-28(16-26-12-8-6-9-13-26)18-32(44)31(17-27-14-10-7-11-15-27)41-37(47)48-21-30-19-38-23-50-30/h6-15,19,22-25,28,31-33,44H,16-18,20-21H2,1-5H3,(H,39,45)(H,41,47)(H,42,46)/t28-,31-,32-,33-/m0/s1	NCDNCNXCDXHOMX-XGKFQTDJSA-N	
fbuaC@AZADAbHqBSJ{O]LmFV]@AUMUUEcbMGH@	7std	334.673	4.1878	-4.584	2	1	231.59	29.1	high	low	high	20	3	4	CC[C@@]([C@H]1C)(C1(Cl)Cl)C(N[C@H](C)c(cc1)ccc1Cl)=O	InChI=1S/C15H18Cl3NO/c1-4-14(10(3)15(14,17)18)13(20)19-9(2)11-5-7-12(16)8-6-11/h5-10H,4H2,1-3H3,(H,19,20)/t9-,10+,14+/m1/s1	RXDMAYSSBPYBFW-BFVZDQMLSA-N	
ejURDLHJN@`_N`IABPpd@YrJPqJIIQSKKQIIEREQK`PpIHj[Zy{DfjZZhFB@`bjjj`h@@	3cs7	511.566	1.9566	-5.087	6	1	378.6	51.8	none	none	none	37	0	7	COc(cc1)ccc1-n1nc(C(F)(F)F)c(CCN2c3ccc(C4(C[NH+]5CCCC5)CC4)cc3)c1C2=O	InChI=1S/C28H29F3N4O2/c1-37-22-10-8-21(9-11-22)35-24-23(25(32-35)28(29,30)31)12-17-34(26(24)36)20-6-4-19(5-7-20)27(13-14-27)18-33-15-2-3-16-33/h4-11H,2-3,12-18H2,1H3/p+1	VNHRSGCBTKUBAX-UHFFFAOYSA-O	
efQTAH@LDhDKBaidZP@cIICEDdeEDXTdhhTeEedYD}BSRmTEAUEUSAAQUAXRQrGP@	3djk	550.671	2.8585	-4.134	10	2	417.06	132.01	none	none	none	38	3	12	CC(C)CN(C[C@H]([C@H](Cc1ccccc1)NC(O[C@H]1COCOCC1)=O)O)S(c(cc1)ccc1OC)(=O)=O	InChI=1S/C27H38N2O8S/c1-20(2)16-29(38(32,33)24-11-9-22(34-3)10-12-24)17-26(30)25(15-21-7-5-4-6-8-21)28-27(31)37-23-13-14-35-19-36-18-23/h4-12,20,23,25-26,30H,13-19H2,1-3H3,(H,28,31)/t23-,25+,26-/m1/s1	LEJNWIFUYPPOMU-DMTNHVFBSA-N	
